book_id,authors,year,title,average_rating
1807,Maggie Stiefvater,2011,The Scorpio Races,4.08
1808,Pierce Brown,2016,"Morning Star (Red Rising, #3)",4.5
1809,Brian Jacques,1988,"Mossflower (Redwall, #2)",4.09
1810,Jenny  Lawson,2015,Furiously Happy: A Funny Book About Horrible Things,3.93
1811,Janet Evanovich,2002,"Visions of Sugar Plums (Stephanie Plum, #8.5)",3.68
1812,Raymond E. Feist,1982,"Magician: Master (The Riftwar Saga, #2)",4.25
1813,Tracey Garvis-Graves,2011,"On the Island (On the Island, #1)",4.13
1814,Lisa Genova,2011,Left Neglected,3.95
1815,"Miep Gies, Alison Leslie Gold",1987,Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,4.26
1816,John Scalzi,2012,Redshirts,3.84
1817,Clive Cussler,1992,"Sahara (Dirk Pitt, #11)",3.95
1818,Jeaniene Frost,2008,"One Foot in the Grave (Night Huntress, #2)",4.31
1819,Liane Moriarty,2006,The Last Anniversary,3.72
1820,Michael  Grant,2009,"Hunger (Gone, #2)",4.02
1821,Janet Evanovich,2008,"Fearless Fourteen (Stephanie Plum, #14)",4.02
1822,Chetan Bhagat,2011,"Revolution 2020: Love, Corruption, Ambition",3.07
1823,"Michael Bond, Peggy Fortnum",1958,"A Bear Called Paddington (Paddington, #1)",4.21
1824,Sara Shepard,2007,"Flawless (Pretty Little Liars, #2)",3.96
1825,Beverly Cleary,1981,"Ramona Quimby, Age 8 (Ramona, #6)",4.08
1826,Nelson DeMille,1992,The General's Daughter,4.07
1827,"Lemony Snicket, Brett Helquist",2001,"The Hostile Hospital (A Series of Unfortunate Events, #8)",3.95
1828,Rumiko Takahashi,1997,"InuYasha: Turning Back Time (InuYasha, #1)",4.26
1829,David Seltzer,1976,The Omen,3.99
1830,Alyson Noel,2009,"Blue Moon (The Immortals, #2)",3.61
1831,David Baldacci,2012,"The Innocent (Will Robie, #1)",4.1
1832,Tom Rob Smith,2008,"Child 44 (Leo Demidov, #1)",4.08
1833,Nancy E. Turner,1998,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories (Sarah Agnes Prine, #1)",4.35
1834,Liane Moriarty,2011,The Hypnotist's Love Story,3.69
1835,"Paulo Coelho, Amanda Hopkinson, Nick Caistor",2000,"The Devil and Miss Prym (On the Seventh Day, #3)",3.59
1836,"Audrey Penn, Ruth E. Harper, Nancy M. Leak",1993,The Kissing Hand,4.41
1837,Hugh Howey,2013,"Shift (Silo, #2)",4.12
1838,Lee Child,2010,"Worth Dying For (Jack Reacher, #15)",4.2
1839,John Elder Robison,2007,Look Me in the Eye: My Life with Asperger's,3.91
1840,Sherrilyn Kenyon,2002,Fantasy Lover (Dark-Hunterverse #1),4.17
1841,"James Patterson, Gabrielle Charbonnet",2008,Sundays at Tiffany's,3.74
1842,Jodi Picoult,2002,Perfect Match,3.93
1843,Curtis Sittenfeld,2005,Prep,3.36
1844,"Anthony Kiedis, Larry Sloman",2004,Scar Tissue,4.1
1845,"Margaret Atwood, Brigitte Walitzek",1996,Alias Grace,3.97
1846,Sylvia Day,2014,"Captivated by You (Crossfire, #4)",4.06
1847,Richard Bach,1977,Illusions: The Adventures of a Reluctant Messiah,4.14
1848,Gail Carriger,2009,"Soulless (Parasol Protectorate, #1)",3.91
1849,Gayle Forman,2013,"Just One Day (Just One Day, #1)",4.02
1850,Lisa McMann,2008,"Wake (Wake, #1)",3.75
1851,Siddhartha Mukherjee,2010,The Emperor of All Maladies: A Biography of Cancer,4.29
1852,Ellen Hopkins,2007,"Glass (Crank, #2)",4.28
1853,"Gabriel García Márquez, Edith Grossman",2004,Memories of My Melancholy Whores,3.59
1854,Jeffrey Archer,2011,"Only Time Will Tell (The Clifton Chronicles, #1)",4.04
1855,Deepak Chopra,2013,The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams,4.07
1856,Augusten Burroughs,2004,Magical Thinking: True Stories,3.96
1857,Tamora Pierce,1984,"In the Hand of the Goddess (Song of the Lioness, #2)",4.25
1858,"James Patterson, Andrew Gross",2004,"3rd Degree (Women's Murder Club, #3)",4.0
1859,Anne Lamott,1994,Bird by Bird: Some Instructions on Writing and Life,4.22
1860,"Kerstin Gier, Anthea Bell",2009,"Ruby Red (Precious Stone Trilogy, #1)",4.12
1861,Alyson Noel,2009,"Shadowland (The Immortals, #3)",3.66
1862,Timothy Zahn,1991,Heir to the Empire (Star Wars: The Thrawn Trilogy #1),4.12
1863,Tamora Pierce,1988,"Lioness Rampant (Song of the Lioness, #4)",4.28
1864,Robin Cook,1987,"Outbreak (Dr. Marissa Blumenthal, #1)",3.96
1865,Louise L. Hay,1984,You Can Heal Your Life,4.14
1866,Emma Straub,2014,The Vacationers,3.14
1867,"Oliver Pötzsch, Lee Chadeayne",2008,"The Hangman's Daughter (The Hangman's Daughter, #1)",3.71
1868,Richard Matheson,1954,I Am Legend,4.07
1869,"Patricia C. Wrede, Peter de Sève",1990,"Dealing with Dragons (Enchanted Forest Chronicles, #1)",4.14
1870,Lee Child,2000,"Running Blind (Jack Reacher, #4)",4.08
1871,John Sandford,1989,"Rules of Prey (Lucas Davenport, #1)",4.13
1872,Tami Hoag,1999,"Ashes to Ashes (Kovac and Liska, #1)",4.03
1873,Michael Chabon,2007,The Yiddish Policemen's Union,3.69
1874,Melanie Benjamin,2013,The Aviator's Wife,3.87
1875,David Shannon,1998,A Bad Case of Stripes,4.24
1876,Lee Child,2011,"The Affair (Jack Reacher, #16)",4.11
1877,"William Strunk Jr., E.B. White",1918,The Elements of Style,4.19
1878,Henry James,1898,The Turn of the Screw,3.45
1879,Jennifer Weiner,2009,Best Friends Forever,3.48
1880,R.A. Salvatore,1990,"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",4.27
1881,"Larry Niven, Jerry Pournelle",1974,The Mote in God's Eye,4.06
1882,"Jo Nesbø, Don Bartlett",2007,"The Snowman (Harry Hole, #7)",4.04
1883,"John  Williams, John McGahern",1965,Stoner,4.28
1884,"David Cote, Stephen Schwartz, Joan Marcus, Winnie Holzman",2005,Wicked: The Grimmerie,4.17
1885,William Shakespeare,1599,As You Like It,3.83
1886,"Garth Ennis, Steve Dillon, Joe R. Lansdale",1996,"Preacher, Volume 1: Gone to Texas",4.16
1887,"Edmond Rostand, Eteel Lawson, Lowell Bair",1897,Cyrano de Bergerac,4.05
1888,Anne Fadiman,1997,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",4.14
1889,Patricia Briggs,2009,"Bone Crossed (Mercy Thompson, #4)",4.34
1890,Richelle Mead,2013,"The Indigo Spell (Bloodlines, #3)",4.41
1891,Karen Marie Moning,2009,"Dreamfever (Fever, #4)",4.43
1892,Kate Atkinson,2004,Case Histories (Jackson Brodie #1),3.82
1893,J. Kenner,2013,"Release Me (Stark Trilogy, #1)",4.14
1894,Sophie Kinsella,2013,Wedding Night,3.4
1895,"Neil Gaiman, Steve Parkhouse, Chris Bachalo, Michael Zulli, Mike Dringenberg, Malcolm Jones III, Todd Klein, Clive Barker",1990,The Doll's House (The Sandman #2),4.44
1896,Eleanor H. Porter,1912,"Pollyanna (Pollyanna, #1)",3.95
1897,Dave Pelzer,1997,The Lost Boy (Dave Pelzer #2),4.08
1898,Hugh Howey,2013,"Dust (Silo, #3)",4.26
1899,Jodi Picoult,2012,Lone Wolf,3.67
1900,Stephen King,1993,Nightmares and Dreamscapes,3.9
1901,Karen Marie Moning,2011,"Shadowfever (Fever, #5)",4.46
1902,John Grisham,2009,The Associate,3.64
1903,Lois Lowry,2012,"Son (The Giver, #4)",3.98
1904,"Neil Gaiman, J.H. Williams III, Dave Stewart, Todd Klein",2015,The Sandman: Overture,3.94
1905,Anthony  Ryan,2011,"Blood Song (Raven's Shadow, #1)",4.47
1906,Simone Elkeles,2010,"Rules of Attraction (Perfect Chemistry, #2)",4.22
1907,Howard Pyle,1883,The Merry Adventures of Robin Hood,4.05
1908,Bret Easton Ellis,1985,Less Than Zero,3.58
1909,Lawrence Hill,2007,Someone Knows My Name,4.44
1910,"Anonymous, Richard Francis Burton, A.S. Byatt",800,The Arabian Nights,4.06
1911,Tana French,2010,"Faithful Place (Dublin Murder Squad, #3)",3.97
1912,Lily King,2014,Euphoria,3.84
1913,Marian Keyes,1997,"Rachel's Holiday (Walsh Family, #2)",3.93
1914,Isaac Asimov,1954,The Caves of Steel (Robot #1),4.14
1915,Haruki Murakami,1988,"Dance Dance Dance (The Rat, #4)",4.03
1916,"Beverly Cleary, Louis Darling, Tracy Dockray",1965,"The Mouse and the Motorcycle (Ralph S. Mouse, #1)",3.9
1917,Carrie Ryan,2009,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",3.59
1918,Terry Brooks,1982,"The Elfstones of Shannara  (The Original Shannara Trilogy, #2)",3.96
1919,"Rachel Cohn, David Levithan",2010,"Dash & Lily's Book of Dares (Dash & Lily, #1)",3.82
1920,Eleanor Catton,2013,The Luminaries,3.7
1921,"Laura Joffe Numeroff, Felicia Bond",1991,If You Give a Moose a Muffin,4.17
1922,Dean Koontz,2005,Velocity,3.85
1923,David Sedaris,1994,Barrel Fever: Stories and Essays,3.78
1924,Terry Pratchett,1991,"Reaper Man (Discworld, #11; Death, #2)",4.27
1925,Frank E. Peretti,1989,"Piercing the Darkness (Darkness, #2)",4.3
1926,"Chip Heath, Dan Heath",2006,Made to Stick: Why Some Ideas Survive and Others Die,3.97
1927,Piers Paul Read,1974,Alive: The Story of the Andes Survivors,4.08
1928,Zadie Smith,2005,On Beauty,3.68
1929,Joyce Meyer,1995,Battlefield of the Mind: Winning the Battle in Your Mind,4.33
1930,Nora Roberts,2001,"Dance Upon the Air (Three Sisters Island, #1)",4.19
1931,David Eddings,1984,"Castle of Wizardry (The Belgariad, #4)",4.16
1932,J.R. Ward,2011,"Lover Unleashed (Black Dagger Brotherhood, #9)",4.28
1934,Richard Castle,2008,"Heat Wave (Nikki Heat, #1)",3.54
1935,Amazon,2011,Kindle Paperwhite User's Guide,3.72
1936,John Irving,1998,A Widow for One Year,3.74
1937,C.S. Lewis,1938,"Out of the Silent Planet (Space Trilogy, #1)",3.92
1938,"Roald Dahl, Quentin Blake",1972,"Charlie and the Great Glass Elevator (Charlie Bucket, #2)",3.64
1939,"Laura Joffe Numeroff, Felicia Bond",1998,If You Give a Pig a Pancake ,4.23
1940,Iain Banks,1984,The Wasp Factory,3.85
1941,Marisha Pessl,2013,Night Film,3.78
1942,Rob Lowe,2011,Stories I Only Tell My Friends,3.77
1943,Kevin Kwan,2013,Crazy Rich Asians (Crazy Rich Asians #1),3.7
1944,Libba Bray,2005,"Rebel Angels (Gemma Doyle, #2)",3.98
1945,Karen Marie Moning,2007,"Bloodfever (Fever, #2)",4.3
1946,Karen Marie Moning,2008,"Faefever (Fever, #3)",4.34
1947,Robert Dugoni,2014,My Sister's Grave (Tracy Crosswhite #1),4.0
1948,Ransom Riggs,2015,"Library of Souls (Miss Peregrine's Peculiar Children, #3)",4.15
1949,E.M. Forster,1910,Howards End,3.95
1950,"Mike Mignola, John Byrne",1994,"Hellboy, Vol. 1: Seed of Destruction (Hellboy, #1)",4.11
1951,Michelle Hodkin,2012,"The Evolution of Mara Dyer (Mara Dyer, #2)",4.33
1952,Rick Riordan,2015,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",4.26
1953,"Alexandre Dumas, Francine du Plessix Gray, Joachim Neugroschel",1850,"The Man in the Iron Mask (The D'Artagnan Romances, #3.3)",3.97
1954,"Shirley Jackson, Laura   Miller",1959,The Haunting of Hill House,3.89
1955,Hunter S. Thompson,1998,The Rum Diary,3.83
1956,"Laura Ingalls Wilder, Garth Williams",1941,"Little Town on the Prairie  (Little House, #7)",4.18
1957,Dodie Smith,1948,I Capture the Castle,4.0
1958,"P.C. Cast, Kristin Cast",2011,"Destined (House of Night, #9)",4.04
1959,Janet Evanovich,2009,"Finger Lickin' Fifteen (Stephanie Plum, #15)",3.98
1960,Charles Bukowski,1978,Women,3.89
1961,John Jakes,1982,"North and South (North and South, #1)",4.19
1962,Patricia Briggs,2010,"Silver Borne (Mercy Thompson, #5)",4.38
1963,Robert Ludlum,1990,"The Bourne Ultimatum (Jason Bourne, #3)",4.04
1964,Robin Hobb,2001,"Fool's Errand (Tawny Man, #1)",4.29
1965,Marie Lu,2014,"The Young Elites (The Young Elites, #1)",3.93
1966,Nora Roberts,1999,"Jewels of the Sun (Gallaghers of Ardmore, #1)",4.22
1967,"Marcus Aurelius, Martin Hammond, Diskin Clay",180,Meditations,4.2
1968,"Dave Barry, Ridley Pearson, Greg Call",2004,"Peter and the Starcatchers (Peter and the Starcatchers, #1)",4.01
1969,Jared Diamond,2004,Collapse: How Societies Choose to Fail or Succeed,3.92
1970,A.S. Byatt,1990,Possession,3.88
1971,Melissa de la Cruz,2008,"Revelations (Blue Bloods, #3)",3.89
1972,Tom Clancy,1993,"Without Remorse (Jack Ryan Universe, #1)",4.16
1973,Sigmund Freud,1899,The Interpretation of Dreams,3.81
1974,Peter Straub,1979,Ghost Story,3.95
1975,"Lemony Snicket, Brett Helquist",2005,"The Penultimate Peril (A Series of Unfortunate Events, #12)",4.02
1976,Bill Bryson,1998,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,3.89
1977,"Lemony Snicket, Brett Helquist",2006,"The End (A Series of Unfortunate Events, #13)",3.99
1978,Mary Karr,1995,The Liars' Club,3.92
1979,Charlaine Harris,2013,"Dead Ever After (Sookie Stackhouse, #13)",3.39
1980,Ray Bradbury,1951,The Illustrated Man,4.13
1981,Raine Miller,2010,"Naked (The Blackstone Affair, #1)",4.02
1982,Jeff VanderMeer,2014,"Annihilation (Southern Reach, #1)",3.62
1983,Abbi Glines,2011,"Breathe (Sea Breeze, #1)",3.88
1984,"Margaret Wise Brown, Clement Hurd",1942,The Runaway Bunny,4.14
1985,"Stephen Hawking, Leonard Mlodinow",2010,The Grand Design,4.0
1986,John Grisham,2006,The Innocent Man: Murder and Injustice in a Small Town,3.79
1987,"Richard Bachman, Stephen King",1985,The Bachman Books,4.1
1988,Reza Aslan,2013,Zealot: The Life and Times of Jesus of Nazareth,3.82
1989,Terry Goodkind,1999,"Soul of the Fire (Sword of Truth, #5)",3.87
1990,"Jan-Philipp Sendker, Kevin Wiliarty",2002,The Art of Hearing Heartbeats,3.98
1991,Iain M. Banks,1987,"Consider Phlebas (Culture, #1)",3.85
1992,David J. Schwartz,1959,The Magic of Thinking Big,4.19
1993,Anne Rice,1998,"The Vampire Armand (The Vampire Chronicles, #6)",3.75
1994,Abbi Glines,2013,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)",4.24
1995,George R.R. Martin,2000,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)",4.49
1996,"Carlo Collodi, John Boyne, Monteiro Lobato, Unknown",1883,Pinocchio,3.86
1997,Robin LaFevers,2012,"Grave Mercy (His Fair Assassin, #1)",3.92
1998,Stormie Omartian,1996,The Power of a Praying Wife,4.31
1999,Henry Miller,1934,Tropic of Cancer,3.71
2000,Wally Lamb,2007,The Hour I First Believed,3.8
2001,Brian Sibley,2010,Harry Potter: Film Wizardry,4.48
2002,"Leo Tolstoy, Aylmer Maude",1886,The Death of Ivan Ilych,4.04
2003,Paula McLain,2015,Circling the Sun,3.93
2004,John Steinbeck,1962,Travels with Charley: In Search of America,4.07
2005,Alice Hoffman,2011,The Dovekeepers,4.02
2006,Scott Lynch,2013,"The Republic of Thieves (Gentleman Bastard, #3)",4.23
2007,Cornelia Funke,2000,The Thief Lord,3.95
2008,Susan Ee,2013,"World After (Penryn & the End of Days, #2)",4.22
2009,Dean Koontz,2006,"Brother Odd (Odd Thomas, #3)",3.98
2010,John Howard Griffin,1960,Black Like Me,4.12
2011,Chuck Palahniuk,2008,Snuff,3.18
2012,James Patterson,1996,"Jack & Jill (Alex Cross, #3)",3.95
2013,Ian McEwan,2005,Saturday,3.61
2014,Jonathan Kellerman,1985,"When the Bough Breaks (Alex Delaware, #1)",4.02
2015,Robert James Waller,1992,The Bridges of Madison County,3.51
2016,Lee Child,2009,"Gone Tomorrow (Jack Reacher, #13)",4.17
2017,Michael Scott,2009,"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",4.11
2018,Hilary Mantel,2012,"Bring Up the Bodies (Thomas Cromwell, #2)",4.26
2019,Rick Riordan,2008,"The Maze of Bones  (The 39 Clues, #1)",3.83
2020,Mark Bittman,1998,How to Cook Everything: Simple Recipes for Great Food,4.02
2021,Stephenie Meyer,2007,"The Twilight Collection (Twilight, #1-3)",3.78
2022,Wassily Kandinsky,1912,Concerning the Spiritual in Art,3.81
2023,Winston Groom,1986,"Forrest Gump (Forrest Gump, #1)",4.06
2024,"Albert Camus, Justin O'Brien",1956,The Fall,4.05
2025,Tom Robbins,1976,Even Cowgirls Get the Blues,3.74
2026,"Wilkie Collins, Carolyn G. Heilbrun",1868,The Moonstone,3.9
2027,"Italo Calvino, William Weaver",1979,If on a Winter's Night a Traveler,4.08
2028,"Gregory Maguire, Douglas Smith",2004,"Son of a Witch (The Wicked Years, #2)",3.45
2029,Ian McEwan,2007,On Chesil Beach,3.54
2030,Sue Grafton,1996,"M is for Malice (Kinsey Millhone, #13)",4.07
2031,Patricia Cornwell,1998,"Point of Origin (Kay Scarpetta, #9)",4.02
2032,Patricia MacLachlan,1985,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",3.72
2034,Christopher Moore,1995,"Bloodsucking Fiends (A Love Story, #1)",3.93
2035,"David Sedaris, Ian Falconer",2010,Squirrel Seeks Chipmunk: A Modest Bestiary,3.34
2036,Brené Brown,2010,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,4.17
2037,Ann Patchett,2016,Commonwealth,3.84
2038,Melissa de la Cruz,2009,"The Van Alen Legacy (Blue Bloods, #4)",3.95
2039,Robert McCloskey,1948,Blueberries for Sal,4.18
2040,Colleen Hoover,2013,"Losing Hope (Hopeless, #2)",4.39
2041,Stephen King,2006,Lisey's Story,3.65
2042,Eben Alexander,2012,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,3.68
2043,Terry Pratchett,1993,"Men at Arms (Discworld, #15; City Watch #2)",4.36
2044,A.J. Jacobs,2007,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,3.76
2045,Frank Herbert,1981,God Emperor of Dune (Dune Chronicles #4),3.81
2046,Emily Giffin,2014,The One & Only,3.11
2047,Jean M. Auel,1982,"The Valley of Horses (Earth's Children, #2)",3.98
2048,Harlan Coben,2013,Six Years,3.8
2049,Beverly Cleary,1968,"Ramona the Pest (Ramona, #2)",4.04
2050,L.J. Smith,2008,"Night World, No. 2 (Night World, #4-6)",4.2
2051,Katherine Dunn,1989,Geek Love,3.98
2052,"Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald",-401,"The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)",3.96
2053,Robert Penn Warren,1946,All the King's Men,4.08
2054,Ann Brashares,2005,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",3.82
2055,Harlan Coben,2007,The Woods,4.04
2056,Robert Jordan,2004,"New Spring (Wheel of Time, #0)",4.01
2057,John Grisham,2011,The Litigators,3.77
2058,"Fredrik Backman, Henning Koch",2013,My Grandmother Asked Me to Tell You She's Sorry,4.02
2059,Vince Flynn,2010,"American Assassin (Mitch Rapp, #1)",4.24
2060,Brené Brown,2012,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",4.24
2061,Hannah Kent,2013,Burial Rites,4.01
2062,Sarah Waters,2002,Fingersmith,4.02
2063,Peter Mayle,1989,A Year in Provence,3.94
2064,"Kate DiCamillo, Bagram Ibatoulline",2000,The Miraculous Journey of Edward Tulane,4.34
2065,Jojo Moyes,2008,The Last Letter from Your Lover,3.94
2066,Martin Cruz Smith,1981,"Gorky Park (Arkady Renko, #1)",4.04
2067,Tara Conklin,2013,The House Girl,3.75
2068,Karen Hesse,1997,Out of the Dust,3.73
2069,Meg Cabot,2006,"Queen of Babble (Queen of Babble, #1)",3.71
2070,Jeff Kinney,2012,"The Third Wheel (Diary of a Wimpy Kid, #7)",4.21
2071,Elizabeth Wein,2012,"Code Name Verity (Code Name Verity, #1)",4.08
2072,Ellen Hopkins,2006,"Burned (Burned, #1)",4.24
2073,Sidney Sheldon,1982,Master of the Game,4.09
2074,Patricia Cornwell,1994,"The Body Farm (Kay Scarpetta, #5)",4.04
2075,Meg Cabot,2002,"The Boy Next Door (Boy, #1)",3.83
2076,"Anonymous, N.K. Sandars",-1750,The Epic of Gilgamesh,3.63
2077,Anna Godbersen,2007,"The Luxe (Luxe, #1)",3.63
2078,Beatrix Potter,1986,The Complete Tales,4.36
2079,Philip Roth,1997,"American Pastoral (The American Trilogy, #1)",3.91
2080,Elizabeth Gilbert,2015,Big Magic: Creative Living Beyond Fear,3.9
2081,Jim Butcher,2014,"Skin Game (The Dresden Files, #15)",4.55
2083,Gena Showalter,2008,The Darkest Night (Lords of the Underworld #1),4.09
2084,Neal Stephenson,2008,Anathem,4.18
2085,Barbara Kingsolver,2009,The Lacuna,3.76
2086,Terry Pratchett,1996,"Hogfather (Discworld, #20; Death, #4)",4.22
2087,Elizabeth Berg,2000,Open House,3.68
2088,Jeannette Walls,2013,The Silver Star,3.68
2089,John Irving,1981,The Hotel New Hampshire,3.89
2090,Laurell K. Hamilton,1994,"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",4.11
2091,Nora Roberts,2003,"Key of Light (Key Trilogy, #1)",4.16
2092,Ellen Hopkins,2008,Identical,4.34
2093,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",2010,The Stand: Soul Survivors,4.52
2094,"Janet Evanovich, Lorelei King",2011,"Smokin' Seventeen (Stephanie Plum, #17)",3.94
2095,Dr. Seuss,1961,The Sneetches and Other Stories,4.31
2096,"Bill Martin Jr., Eric Carle",1982,"Polar Bear, Polar Bear, What Do You Hear?",4.16
2097,Hermann Hesse,1919,Demian. Die Geschichte von Emil Sinclairs Jugend,4.1
2098,Kurt Vonnegut Jr.,1965,"God Bless You, Mr. Rosewater",3.94
2099,"Yoshiki Nakamura, Tomo Kimura",2002,"Skip Beat!, Vol. 01",4.26
2100,Frank Miller,1986,Batman: The Dark Knight Returns #1,4.21
2101,"J.K. Rowling, Mary GrandPré",1999,"The Harry Potter Collection 1-4 (Harry Potter, #1-4)",4.66
2102,Paolo Bacigalupi,2009,The Windup Girl,3.74
2103,"Oscar Wilde, Richard Allen Cave",1954,The Importance of Being Earnest and Other Plays,4.26
2104,Stephanie Perkins,2014,"Isla and the Happily Ever After (Anna and the French Kiss, #3)",4.1
2105,Ilona Andrews,2007,"Magic Bites (Kate Daniels, #1)",4.07
2106,Jodi Ellen Malpas,2013,"This Man Confessed (This Man, #3)",4.43
2107,"Irène Némirovsky, Sandra Smith",2004,Suite Française,3.82
2108,"Vincent van Gogh, Ronald de Leeuw, Mark Roskill, Arnold J. Pomerans",1914,The Letters of Vincent van Gogh,3.99
2109,Terry Pratchett,1988,"Sourcery (Discworld, #5; Rincewind #3)",3.87
2110,Bryan Lee O'Malley,2005,"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World",4.24
2111,"Grant Morrison, Dave McKean",1989,Batman: Arkham Asylum - A Serious House on Serious Earth,4.09
2112,Jenny Han,2015,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",4.17
2113,David Baldacci,2015,"Memory Man (Amos Decker, #1)",4.05
2114,Hillary Jordan,2008,Mudbound,3.99
2115,Mark Bowden,1999,Black Hawk Down,4.28
2116,"V.E. Schwab, Victoria Schwab",2015,"A Darker Shade of Magic (Shades of Magic, #1)",4.07
2117,David Grann,2009,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,3.86
2118,Brandon Sanderson,2015,"Firefight (The Reckoners, #2)",4.29
2119,Trudi Canavan,2001,"The Magicians' Guild (Black Magician Trilogy, #1)",3.96
2120,Michael Scott,2010,"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",4.12
2121,Lee Child,2010,"61 Hours (Jack Reacher, #14)",4.08
2122,Patricia McCormick,2000,Cut,3.76
2123,"Roald Dahl, Quentin Blake",1981,George's Marvellous Medicine,4.02
2124,Jane Smiley,1991,A Thousand Acres,3.79
2125,Lloyd Alexander,1964,"The Book of Three (The Chronicles of Prydain, #1)",4.0
2126,Patricia Briggs,2008,"Cry Wolf (Alpha & Omega, #1)",4.11
2127,Ian Falconer,2000,Olivia,4.13
2128,Kent Haruf,1999,"Plainsong (Plainsong, #1)",4.0
2129,Daniel Clowes,1998,Ghost World,3.87
2130,Amanda Hocking,2010,"Torn (Trylle, #2)",4.04
2131,"Ivan Turgenev, George Reavy, Jane Costlow",1862,Fathers and Sons,3.94
2132,"Eliyahu M. Goldratt, Jeff Cox",1984,The Goal: A Process of Ongoing Improvement,4.0
2133,Geraldine Brooks,2011,Caleb's Crossing,3.81
2134,Claudia Gray,2008,"Evernight (Evernight, #1)",3.64
2135,Lee Child,2007,"Bad Luck and Trouble (Jack Reacher, #11)",4.17
2136,Karen Joy Fowler,2004,The Jane Austen Book Club,3.07
2137,Ian McEwan,2014,The Children Act,3.68
2138,Janet Evanovich,2009,"Sizzling Sixteen (Stephanie Plum, #16)",3.93
2139,Ashlee Vance,2015,Elon Musk: Inventing the Future,4.25
2140,James S.A. Corey,2012,"Caliban's War (The Expanse, #2)",4.28
2141,Rebecca Donovan,2012,"Barely Breathing (Breathing, #2)",4.33
2142,"Homer, Robert Fagles, Bernard Knox",-762,The Iliad/The Odyssey,4.03
2143,"Mark Waid, Alex Ross, Elliot S. Maggin",1996,Kingdom Come,4.24
2144,Henri Charrière,1969,Papillon,4.23
2145,Sarah Waters,1998,Tipping the Velvet,4.0
2146,"Chris Colfer, Brandon Dorman",2012,"The Wishing Spell (The Land of Stories, #1)",4.21
2147,David Ebershoff,2008,The 19th Wife,3.63
2148,Walter Dean Myers,1999,Monster,3.7
2149,George R.R. Martin,2011,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",4.63
2150,Patricia Cornwell,1991,"Body of Evidence (Kay Scarpetta, #2)",4.0
2151,"Brian K. Vaughan, Fiona Staples",2012,Saga #1,4.15
2152,Sara Shepard,2007,"Perfect (Pretty Little Liars, #3)",4.02
2153,Jessica Sorensen,2012,"The Secret of Ella and Micha (The Secret, #1)",4.01
2154,Kevin Hearne,2011,"Hounded (The Iron Druid Chronicles, #1)",4.12
2155,Stephen King,2002,From a Buick 8,3.42
2156,Kim Stanley Robinson,1993,"Red Mars (Mars Trilogy, #1)",3.84
2157,"Charlotte Perkins Gilman, Elaine Hedges",1892,The Yellow Wall-Paper,4.11
2158,"H.G. Wells, Alfred MacAdam",1968,The Time Machine/The Invisible Man,4.08
2159,Nora Roberts,1998,"Sea Swept (Chesapeake Bay Saga, #1)",4.24
2160,Brent Weeks,2012,"The Blinding Knife (Lightbringer, #2)",4.45
2161,Morgan Matson,2014,Since You've Been Gone,4.19
2162,Steve Martin,2010,An Object of Beauty,3.58
2163,"Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway",1969,What to Expect When You're Expecting,3.75
2164,John Flanagan,2005,"The Icebound Land (Ranger's Apprentice, #3)",4.22
2165,Marian Keyes,2006,"Anybody Out There? (Walsh Family, #4)",3.91
2166,"Peter Thiel, Blake  Masters",2014,"Zero to One: Notes on Startups, or How to Build the Future",4.17
2167,Sarah J. Maas,2016,"Empire of Storms (Throne of Glass, #5)",4.58
